Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,140,175,"1,900",N/A,N/A,N/A
2,160,200,"2,100","1,000,000",18h,5
3,180,225,"2,300","2,000,000",1d 12h,6
4,210,262.5,"2,700","3,000,000",3d,7
5,240,300,"3,100","3,800,000",4d,8
6,270,337.5,"3,400","4,900,000",5d 6h,9
7,310,387.5,"3,900","6,300,000",5d 12h,10
8,330,412.5,"4,200","8,800,000",7d,11
9,350,437.5,"4,500","17,500,000",12d,12
10,370,462.5,"4,900","19,500,000",14d,13
11,390,487.5,"5,300","21,500,000",16d,14
