Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,136,102,580,"10,000",N/A,9
2,139,104.25,592,"10,000",4h,9
3,143,107.25,604,"11,000",6h,9
4,146,109.5,617,"12,000",8h,9
5,150,112.5,630,"13,000",10h,9
6,154,115.5,643,"14,000",12h,9
7,157,117.75,657,"15,000",14h,9
8,162,121.5,670,"16,000",16h,9
9,165,123.75,685,"17,000",18h,9
10,169,126.75,699,"18,000",20h,9
11,173,129.75,714,"19,000",22h,9
12,178,133.5,729,"20,000",1d,9
13,183,137.25,744,"21,000",1d,9
14,187,140.25,759,"22,000",1d,9
15,192,144,775,"23,000",1d,9
16,196,147,792,"24,000",1d,9
17,201,150.75,808,"25,000",1d 12h,9
18,207,155.25,826,"27,000",1d 12h,9
19,212,159,842,"28,000",1d 12h,9
20,217,162.75,861,"30,000",2d,9
21,223,167.25,878,"31,000",2d,9
22,228,171,897,"33,000",2d,9
23,234,175.5,916,"34,000",2d,9
24,240,180,935,"36,000",2d,9
25,246,184.5,954,"37,000",2d 12h,9
26,252,189,974,"39,000",2d 12h,9
27,258,193.5,995,"40,000",2d 12h,9
28,264,198,"1,016","42,000",2d 12h,9
29,271,203.25,"1,038","43,000",2d 12h,9
30,278,208.5,"1,059","45,000",3d,9
31,285,213.75,"1,082","47,000",3d,10
32,292,219,"1,104","49,000",3d,10
33,299,224.25,"1,127","51,000",3d,10
34,307,230.25,"1,151","53,000",3d,10
35,315,236.25,"1,175","55,000",3d 12h,10
36,322,241.5,"1,200","57,000",3d 12h,10
37,331,248.25,"1,226","59,000",3d 12h,10
38,338,253.5,"1,251","61,000",3d 12h,10
39,347,260.25,"1,278","63,000",3d 12h,10
40,356,267,"1,304","65,000",4d,10
41,365,273.75,"1,331","68,000",4d,11
42,374,280.5,"1,359","72,000",4d,11
43,383,287.25,"1,388","75,000",4d,11
44,393,294.75,"1,417","79,000",4d,11
45,403,302.25,"1,447","82,000",5d,11
46,413,309.75,"1,478","86,000",5d,11
47,423,317.25,"1,508","89,000",5d,11
48,434,325.5,"1,540","93,000",5d,11
49,445,333.75,"1,572","98,000",5d,11
50,456,342,"1,606","103,000",5d,11
51,465,348.75,"1,646","108,000",5d 12h,12
52,474,355.5,"1,688","113,000",5d 12h,12
53,485,363.75,"1,730","118,000",5d 12h,12
54,495,371.25,"1,774","123,000",5d 12h,12
55,505,378.75,"1,819","128,000",5d 12h,12
56,515,386.25,"1,865","133,000",5d 18h,12
57,526,394.5,"1,912","138,000",5d 18h,12
58,537,402.75,"1,960","143,000",5d 18h,12
59,548,411,"2,010","148,000",5d 18h,12
60,559,419.25,"2,060","153,000",5d 18h,12
61,570,427.5,"2,111","158,000",6d,12
62,581,435.75,"2,164","163,000",6d,12
63,593,444.75,"2,218","168,000",6d,12
64,605,453.75,"2,274","173,000",6d,12
65,617,462.75,"2,330","178,000",6d,12
66,628,471,"2,384","183,000",6d 12h,13
67,638,478.5,"2,432","188,000",6d 12h,13
68,648,486,"2,476","193,000",6d 12h,13
69,656,492,"2,516","198,000",6d 12h,13
70,664,498,"2,552","203,000",6d 12h,13
71,671,503.25,"2,584","208,000",7d,13
72,677,507.75,"2,616","214,000",7d,13
73,682,511.5,"2,648","221,000",7d,13
74,687,515.25,"2,680","229,000",7d,13
75,692,519,"2,712","234,000",7d,13
76,697,522.75,"2,740","239,000",7d 12h,14
77,701,525.75,"2,768","244,000",7d 12h,14
78,706,529.5,"2,796","249,000",7d 12h,14
79,710,532.5,"2,824","254,000",7d 12h,14
80,714,535.5,"2,852","259,000",7d 12h,14
81,717,537.75,"2,880","264,000",8d,15
82,721,540.75,"2,904","268,000",8d,15
83,724,543,"2,928","272,000",8d,15
84,728,546,"2,952","276,000",8d,15
85,731,548.25,"2,976","280,000",8d,15
86,734,550.5,"3,000","282,000",8d,15
87,738,553.5,"3,024","284,000",8d,15
88,741,555.75,"3,048","286,000",8d,15
89,745,558.75,"3,072","288,000",8d,15
90,748,561,"3,096","290,000",8d,15
91,751,563.25,"3,120","300,000",8d,16
92,755,566.25,"3,144","310,000",8d,16
93,758,568.5,"3,168","320,000",8d,16
94,762,571.5,"3,192","330,000",8d,16
95,765,573.75,"3,216","340,000",8d,16
