Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,11,22,300,N/A,N/A,N/A
2,14,28,360,"40,000",4h,2
3,19,38,450,"150,000",8h,4
4,24,48,600,"500,000",12h,5
5,31,62,800,"1,200,000",1d,6
6,43,86,"1,100","2,000,000",2d,7
7,55,110,"1,300","3,000,000",2d 20h,8
8,62,124,"1,500","3,500,000",4d,9
9,70,140,"1,850","5,600,000",5d 12h,10
10,78,156,"2,000","8,000,000",7d,11
11,86,172,"2,200","16,500,000",12d 12h,13
12,94,188,"2,400","18,500,000",14d,14
