Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,60,60,270,N/A,N/A,N/A
2,70,70,312,"4,000",10h,5
3,80,80,370,"7,000",20h,6
4,92,92,430,"10,000",1d 6h,6
5,105,105,500,"20,000",2d,7
6,118,118,590,"37,000",2d 16h,8
7,135,135,700,"70,000",3d 12h,9
8,148,148,810,"95,000",5d 6h,10
9,161,161,890,"150,000",7d,10
10,174,174,970,"175,000",7d,11
11,187,187,"1,080","240,000",12d,12
12,200,200,"1,230","335,000",13d 6h,13
13,213,213,"1,380","350,000",14d 12h,14
