Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,50,75,75,N/A,N/A,N/A
2,70,105,90,"120,000",8h,3
3,90,135,108,"320,000",12h,4
4,125,187.5,135,"620,000",18h,5
5,170,255,165,"1,200,000",1d,6
6,185,277.5,180,"2,200,000",2d,7
7,200,300,195,"3,500,000",2d 16h,8
8,215,322.5,210,"5,000,000",3d 12h,9
9,230,345,230,"5,800,000",5d 6h,10
10,245,367.5,250,"8,500,000",7d,11
11,260,390,270,"17,200,000",12d 12h,13
12,275,412.5,290,"19,200,000",14d,14
