Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,6,6,240,240,20,N/A
2,10,9,400,360,24,"100,000"
3,15,13,600,520,29,"250,000"
4,20,16,800,640,35,"600,000"
5,43,23,"1,720",920,53,"1,200,000"
6,55,30,"2,200","1,200",72,"2,500,000"
7,66,36,"2,640","1,440",82,"4,200,000"
8,75,42,"3,000","1,680",92,"6,500,000"
9,86,48,"3,440","1,920",112,"8,000,000"
10,94,54,"3,760","2,160",130,"11,000,000"
11,102,60,"4,080","2,400",140,"16,500,000"
12,110,66,"4,400","2,640",150,"19,000,000"
