Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,4,20,400,"5,000",3h,103,3
2,5,25,450,"25,000",6h,146,4
3,6,30,500,"100,000",12h,207,5
4,7,35,550,"200,000",18h,254,6
5,9,45,600,"300,000",1d,293,7
6,11,55,650,"560,000",2d,415,8
7,15,75,700,"1,300,000",2d 12h,464,9
8,20,100,800,"1,900,000",2d 12h,464,10
9,25,125,950,"2,500,000",3d,509,11
10,30,150,"1,100","3,500,000",3d,509,11
11,35,175,"1,300","5,800,000",7d,777,12
12,38,190,"1,500","6,500,000",7d,777,12
13,42,210,"1,700","8,200,000",7d 12h,804,13
14,48,240,"1,950","15,000,000",12d,"1,018",14
15,54,270,"2,150","19,000,000",13d 12h,"1,080",15
16,60,300,"2,300","19,500,000",14d 12h,"1,119",16
