Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,11,5.5,380,"1,000",1m,7,2
2,15,7.5,420,"2,000",15m,30,2
3,19,9.5,460,"5,000",45m,51,3
4,25,12.5,500,"20,000",3h,103,4
5,30,15,540,"80,000",4h,120,5
6,35,17.5,580,"150,000",5h,134,5
7,42,21,630,"300,000",8h,169,6
8,48,24,690,"480,000",10h,189,7
9,56,28,750,"580,000",12h,207,8
10,63,31.5,810,"760,000",12h,207,8
11,70,35,890,"1,000,000",14h,224,9
12,75,37.5,970,"1,100,000",18h,254,10
13,80,40,"1,050","2,000,000",18h,254,10
14,90,45,"1,130","2,200,000",1d 6h,328,11
15,100,50,"1,230","2,500,000",1d 6h,328,11
16,105,52.5,"1,330","4,700,000",3d,509,12
17,110,55,"1,410","6,100,000",3d,509,12
18,120,60,"1,510","6,800,000",7d,777,13
19,130,65,"1,600","8,000,000",7d,777,13
20,138,69,"1,700","11,600,000",9d 12h,905,14
21,145,72.5,"1,800","16,000,000",13d 6h,"1,069",15
