Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,11,14.3,620,"120,000",3h,103,5
2,13,16.9,650,"220,000",3h,103,5
3,16,20.8,680,"400,000",8h,169,6
4,20,26,730,"540,000",12h,207,7
5,24,31.2,840,"700,000",18h,254,8
6,32,41.6,960,"1,000,000",1d,293,8
7,40,52,"1,200","2,000,000",1d 12h,360,9
8,45,58.5,"1,440","2,200,000",2d,415,10
9,50,65,"1,680","2,800,000",2d 12h,464,10
10,62,80.6,"2,000","4,000,000",3d,509,11
11,70,91,"2,240","7,200,000",7d,777,12
12,78,101.4,"2,480","9,200,000",8d,831,13
13,84,109.2,"2,700","10,200,000",9d,881,13
14,90,117,"2,900","12,000,000",13d,"1,059",14
15,95,123.5,"3,000","19,200,000",13d 12h,"1,080",15
16,102,132.6,"3,150","20,200,000",14d 12h,"1,119",16
