Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,80,80,800,"22,000",3h,103,4
2,110,110,850,"90,000",8h,169,4
3,140,140,900,"270,000",12h,207,5
4,160,160,950,"500,000",18h,254,6
5,190,190,"1,000","800,000",1d,293,7
6,230,230,"1,050","1,000,000",1d 12h,360,8
7,280,280,"1,100","1,750,000",2d,415,9
8,320,320,"1,210","2,300,000",2d 12h,464,10
9,360,360,"1,300","3,400,000",3d,509,11
10,400,400,"1,400","5,800,000",8d 18h,869,12
11,440,440,"1,500","8,400,000",9d,881,13
12,500,500,"1,650","11,900,000",12d,"1,018",14
13,540,540,"1,750","19,500,000",13d 12h,"1,080",15
14,600,600,"1,850","20,500,000",15d,"1,138",16
